Study_number,Site_ID,Latitude,Longitude,R,p_R,Q,p_Q,Ts_mean,Q10_Rs,obs,Q_Rh,p_Q_Rh,Q10_Rh,obs_Rh,Q_Ra,p_Q_Ra,Q10_Ra,obs_Ra,IGBP,Ecosystem,IGBP_group,barren_yn,ClimateTypes,MiddleClimate,Ecosystem2,warner_rs,Q10_diff,IGBP_FromPaper,
3179,US-BOC-CKHNP,65.25,-147.75,1.631815724,0.0027,0.140791072,0.0035,4.511176471,4.087406748,10,0.114465692,0.0018,3.141363431,10,0.15627469,0.01,4.771911221,10,ENF,Wetland,WAT,0,Dfc,Df,Wetland,161.1613383,1.63054779,ENF,
3179,US-BOC-CKMDP,65.25,-147.75,1.614858984,0.0013,0.099645967,0.0165,4.511176471,2.708675221,11,0.072785453,0.0233,2.070633348,11,0.137386087,0.0597,3.950573941,11,ENF,Wetland,WAT,0,Dfc,Df,Wetland,161.1613383,1.879940593,ENF,
3179,US-BOC-ICKLSP,65.25,-147.75,0.937546335,0.0011,0.167077921,3.00E-04,4.511176471,5.316308694,13,0.125621005,3.00E-04,3.512085605,13,0.21565316,0.0032,8.641114789,13,ENF,Wetland,WAT,0,Dfc,Df,Wetland,161.1613383,5.129029184,ENF,
3561,IE-DOO-IV,53.25,-6.75,0.312569332,0.0377,0.147690983,0.0016,9.941818182,4.379391684,11,0.133428,0.0672,3.797260939,11,0.162658058,0,5.086452225,11,GRA,Grassland,GRA,0,Cfb,Cf,Grassland,551.5788923,1.289191286,GRA,
3592,JP-KYM-BEECH,35.75,135.25,0.765535968,0.0274,0.095538146,0.0011,14.68714286,2.599662057,14,0.106496331,0.0019,2.900732566,14,0.079623594,0.0698,2.217179614,14,DBF,Wetland,WAT,0,Cfa,Cf,Wetland,490.317314,-0.683552952,DBF,
3592,JP-KYM-CEDER,35.75,135.25,1.004283251,0.0021,0.082371411,1.00E-04,14.68714286,2.278948396,14,0.091057295,8.00E-04,2.485746333,14,0.072501657,0.0534,2.06476531,14,DBF,Wetland,WAT,0,Cfa,Cf,Wetland,490.317314,-0.420981023,DBF,
3592,JP-KYM-KYOTO,35.25,136.25,0.583806107,0.0042,0.099561633,0,14.68714286,2.706391856,20,0.090311081,1.00E-04,2.467266391,20,0.11357315,0,3.113450206,20,DBF,Wetland,WAT,0,Cfa,Cf,Wetland,473.5492446,0.646183814,DBF,
3592,JP-KYM-NOB,36.25,138.75,0.404175631,0.0766,0.1184853,0.0039,14.68714286,3.270206073,14,0.111063008,0.0154,3.036270881,14,0.141656982,3.00E-04,4.122953682,14,DBF,Forest,MF,0,Cfa,Cf,T&B FOR,418.9953074,1.086682801,DBF,
3592,JP-KYM-OAK,35.75,135.25,0.65738619,0.0036,0.095908255,0,14.68714286,2.609301471,15,0.102121656,0.0029,2.776570576,15,0.088399986,0.0354,2.420562283,15,DBF,Wetland,WAT,0,Cfa,Cf,Wetland,490.317314,-0.356008293,DBF,
3649,CN-CBM,42.75,128.25,1.189619265,1.00E-04,0.101586256,0,6.495714286,2.761744548,14,0.103704723,0,2.820875313,14,0.098098496,0,2.667081918,14,ENF,Forest,MF,0,Dwb,Dsw,T&B FOR,428.4577378,-0.153793396,ENF,
3705,CN-MFR,22.25,101.75,0.430475675,0.0211,0.093237186,1.00E-04,19.76458333,2.540527811,24,0.080088028,0.0022,2.227500889,24,0.132859014,0.0019,3.775716384,24,MF,Forest,EF,0,Cwa,Cw,T&B FOR,498.1735956,1.548215495,MF,
3795,CN-FSK-BSV,35.25,114.75,0.190697202,0.3384,0.129589043,0.0106,21.00933333,3.654248394,30,0.113856309,0.0525,3.122278716,30,0.140124932,0.0936,4.06026936,30,CRO,Agriculture,CRO,0,Cwa,Cw,Agriculture,457.4838434,0.937990644,CRO,
3877,US-EYE-SITE607,44.75,-121.25,0.916651881,0.003,0.037974387,0.0253,11.97090909,1.4619101,11,0.025063735,0.0604,1.284844055,11,0.04758476,0.0499,1.609377728,11,GRA,Grassland,GRA,0,Csb,Cs,Grassland,298.3465913,0.324533673,GRA,
3893,BE-WPO-BEECH,50.25,4.75,0.52444943,0,0.137031946,0,9.3232,3.936608067,25,0.127025651,0,3.561766081,25,0.152902921,0,4.613695705,25,CVM,Agriculture,CRO,0,Cfb,Cf,Agriculture,520.5435011,1.051929624,CVM,
4003,FR-HFH-H1,48.75,7.25,0.527704478,0,0.1025182,0,9.421081081,2.787602746,18,0.09824849,0,2.671085377,18,0.108761506,2.00E-04,2.967189045,18,CVM,Agriculture,CRO,0,Cfb,Cf,Agriculture,405.1805352,0.296103668,CVM,
4003,FR-HFH-H2,48.75,7.25,0.478056001,2.00E-04,0.109146566,0,9.421081081,2.978636555,19,0.114648302,0,3.147105107,19,0.090812281,0.0344,2.479663367,19,CVM,Agriculture,CRO,0,Cfb,Cf,Agriculture,405.1805352,-0.66744174,CVM,
4136,CN-YJG-II,44.75,123.75,0.167028932,0.2094,0.095513631,0.0161,21.97785714,2.599024839,7,0.072179129,0.0111,2.058116597,7,0.149492224,0.0669,4.458989823,7,GRA,Wetland,WAT,0,Dwa,Dsw,Wetland,241.5444756,2.400873227,GRA,
4155,CN-XEF-I,26.25,117.75,2.274611719,2.00E-04,0.027886194,0.0045,20.63666667,1.321624862,12,0.027408256,0.0104,1.315323391,12,0.028410996,0.0023,1.328579008,12,ENF,Forest,MF,0,Cfa,Cf,T&B FOR,499.7367613,0.013255617,ENF,
4155,CN-XEF-II,26.25,117.75,2.320648135,1.00E-04,0.026934852,0.0022,20.63666667,1.309111313,12,0.025516095,0.0046,1.290669336,12,0.028601619,0.0012,1.331114005,12,ENF,Forest,MF,0,Cfa,Cf,T&B FOR,499.7367613,0.040444669,ENF,
4155,CN-XEF-IV,26.25,117.75,0.907097748,3.00E-04,0.037253973,8.00E-04,20.63666667,1.451416147,12,0.038146057,1.00E-04,1.464421926,12,0.036084818,0.0077,1.434545653,12,ENF,Forest,MF,0,Cfa,Cf,T&B FOR,499.7367613,-0.029876272,ENF,
4155,CN-XEF-V,26.25,117.75,0.87488465,0,0.03638571,1.00E-04,20.63666667,1.438868584,12,0.036230564,0,1.436637969,12,0.036346192,0.0028,1.438300091,12,ENF,Forest,MF,0,Cfa,Cf,T&B FOR,499.7367613,0.001662122,ENF,
4155,CN-XEF-VII,26.25,117.75,0.483115354,0.0046,0.050753291,0.0013,20.63666667,1.661187828,12,0.036303826,0.0095,1.43769086,12,0.073016833,0.001,2.075429929,12,ENF,Forest,MF,0,Cfa,Cf,T&B FOR,499.7367613,0.637739069,ENF,
4155,CN-XEF-VIII,26.25,117.75,0.44588738,0.0011,0.052747885,1.00E-04,20.63666667,1.694654437,12,0.035039738,8.00E-04,1.419631574,12,0.079281482,4.00E-04,2.20960732,12,ENF,Forest,MF,0,Cfa,Cf,T&B FOR,499.7367613,0.789975745,ENF,
4166,FI-HUH-II,63.25,31.25,0.615733125,0,0.115938341,0,5.158222222,3.187967017,11,0.087349125,0,2.395258731,11,0.158552144,0,4.881836318,11,ENF,Wetland,WAT,0,Dfc,Df,Wetland,370.1365335,2.486577588,ENF,
4166,FI-HUH-III,63.25,31.25,0.673266078,0,0.125427366,0,5.158222222,3.505291428,11,0.093843178,0,2.555969963,11,0.167516084,0,5.33965391,11,ENF,Wetland,WAT,0,Dfc,Df,Wetland,370.1365335,2.783683947,ENF,
4174,US-KFF-CLIPCK,35.25,-97.25,0.729284907,0,0.055652576,0,17.77948052,1.744600804,77,0.062235553,0,1.863311972,48,0.082082062,0,2.272363827,48,WSA,Savanna,GRA,0,Cfa,Cf,Savanna,492.9928802,0.409051855,WSA,
4174,US-KFF-UCCK,35.25,-97.25,0.812193778,0,0.053126334,0,17.77948052,1.701079991,77,0.063275161,0,1.882784149,48,0.077487166,0,2.170313575,48,WSA,Savanna,GRA,0,Cfa,Cf,Savanna,492.9928802,0.287529426,WSA,
4303,CA-CSK,54.25,-104.75,1.059724145,0,0.146227167,0,1.3712,4.315752358,75,0.129390232,0,3.646990537,75,0.165430505,0,5.229444437,75,CVM,Agriculture,CRO,0,Dfc,Df,Agriculture,279.9389966,1.5824539,CVM,
4348,US-MEO,44.75,-121.25,2.092719525,0,0.039265909,0.0015,12.87666667,1.480913443,42,0.040345038,0.0015,1.496980957,28,0.056778633,0.0892,1.76435702,28,GRA,Grassland,GRA,0,Csb,Cs,Grassland,298.3465913,0.267376063,GRA,
4435,FI-KAN-SITE1,66.25,24.25,0.594055276,0,0.135449247,0,4.37625,3.874793898,16,0.120252448,0,3.328509076,16,0.15368357,0,4.649853444,16,DBF,Wetland,WAT,0,Dfc,Df,Wetland,333.2427928,1.321344367,DBF,
