Study_number,Site_ID,Latitude,Longitude,R,p_R,Q,p_Q,Ts_mean,Q10_Rs,obs,Q_Rh,p_Q_Rh,Q10_Rh,obs_Rh,Q_Ra,p_Q_Ra,Q10_Ra,obs_Ra,IGBP,Ecosystem,IGBP_group,barren_yn,ClimateTypes,MiddleClimate,Ecosystem2,warner_rs,Q10_diff,IGBP_FromPaper,
7477,CN-JS-FLN,32.75,119.75,0.774462444,0,0.068328724,0,11.49324324,1.980377019,37,0.092602614,0,2.524457377,37,0.041332199,0.0457,1.511831746,37,CRO,Agriculture,CRO,0,Cfa,Cf,Agriculture,469.6008382,-1.01262563,CRO,
7477,CN-JS-FNN,32.75,119.75,0.833669856,0,0.070176995,0,11.49324324,2.017320102,37,0.089618724,0,2.450243089,37,0.052929392,0.0024,1.697733158,37,CRO,Agriculture,CRO,0,Cfa,Cf,Agriculture,469.6008382,-0.752509931,CRO,
7517,JP-ANP-TR,36.75,138.75,0.232760691,0,0.129166463,0,13.54631579,3.638838835,19,0.122012493,0,3.387610919,19,0.169981296,0.0036,5.472923663,19,DBF,Forest,MF,0,Dfb,Df,T&B FOR,426.0180508,2.085312744,DBF,
7587,CN-SFC-LARIX15YR,42.75,117.25,0.449791471,0,0.129992025,0,12.56701299,3.669004045,19,0.160668227,6.00E-04,4.986240765,19,0.102446571,0.029,2.785606755,19,DNF,Grassland,GRA,0,Dwb,Dsw,Grassland,268.0734162,-2.20063401,DNF,
7587,CN-SFC-LARIX35YR,42.75,117.25,0.446381007,0,0.118719881,0,12.56701299,3.277886361,23,0.125458187,0,3.506371935,23,0.109118594,0,2.977803464,23,DNF,Grassland,GRA,0,Dwb,Dsw,Grassland,268.0734162,-0.52856847,DNF,
7587,CN-SFC-PINUS15YR,42.75,117.25,0.430957443,0,0.119864716,0,12.56701299,3.315628369,16,0.147495769,0,4.370850857,16,0.0857034,0.0029,2.356161937,16,DNF,Grassland,GRA,0,Dwb,Dsw,Grassland,268.0734162,-2.01468892,DNF,
7587,CN-SFC-PINUS35YR,42.75,117.25,0.419893534,0,0.129982871,0,12.56701299,3.668668192,19,0.131274964,0,3.716378394,19,0.12408143,0.0019,3.458428519,19,DNF,Grassland,GRA,0,Dwb,Dsw,Grassland,268.0734162,-0.257949875,DNF,
7678,CN-NWS-WHEAT,36.75,116.25,1.955939665,0,0.046040959,0,17.322,1.584722943,25,0.05395544,0,1.715242378,25,0.029629827,0.0804,1.344871229,25,CRO,Agriculture,CRO,0,Cwa,Cw,Agriculture,323.3376079,-0.370371149,CRO,
7689,CN-ANE,40.75,81.25,0.507146874,0,0.084148963,0,22.49925926,2.319820088,27,0.101297442,0,2.753779736,27,0.044120541,0,1.554579999,27,CRO,Desert,BSV,1,BWk,B,Desert,166.3123585,-1.199199737,CRO,
7721,CN-CBS,42.75,128.75,1.166661321,0.0015,0.080176353,1.00E-04,14.5,2.229469198,23,0.080333893,0,2.23298428,23,0.079399341,0.012,2.212213079,23,ENF,Forest,MF,0,Dwb,Dsw,T&B FOR,449.621051,-0.020771201,ENF,
7868,CN-SES-CK,42.75,117.25,0.842377509,0.0041,0.1122748,3.00E-04,9.716666667,3.073288004,12,0.101353744,5.00E-04,2.755330623,12,0.134253656,2.00E-04,3.828743049,12,DNF,Grassland,GRA,0,Dwb,Dsw,Grassland,268.0734162,1.073412426,DNF,
7898,CN-HBS,37.75,101.25,0.961227531,0,0.132835919,0,2.340208333,3.774844494,48,0.137459461,0,3.953473703,48,0.12655446,0,3.545022838,48,GRA,Grassland,GRA,0,ET,E,Grassland,278.0986865,-0.408450865,GRA,
8007,CN-XFF-LSS,27.25,118.25,0.693036923,0.0077,0.066153758,6.00E-04,18.31416667,1.937769519,13,0.059664276,0.0031,1.816011776,13,0.080580885,0.0025,2.23850638,13,ENF,Forest,MF,0,Cfa,Cf,T&B FOR,512.4964391,0.422494604,ENF,
8007,CN-XFF-LST,27.25,118.25,0.455370092,0.005,0.07689152,1.00E-04,18.31416667,2.157424599,11,0.077212939,6.00E-04,2.164370147,11,0.07569392,0.0032,2.131741397,11,DBF,Forest,MF,0,Cfa,Cf,T&B FOR,512.4964391,-0.032628751,DBF,
8088,CN-ASF,24.75,101.25,0.710112059,0.0237,0.169420585,0,11.49791667,5.442322207,24,0.198072117,0,7.247968139,24,0.136499233,0,3.915693015,24,DBF,Forest,MF,0,Cwb,Cw,T&B FOR,393.8815149,-3.332275123,DBF,
8097,CN-LZU-CK,36.25,104.25,0.430401695,7.00E-04,0.057006204,0,16.06965517,1.768376765,29,0.062212948,0,1.862890803,29,0.045302206,0.0071,1.573058892,29,GRA,Grassland,GRA,0,BSk,B,Grassland,183.899524,-0.289831911,GRA,
8277,DE-FB-EA,50.25,12.25,0.276196981,0.0219,0.115669484,0.0015,10.79985714,3.179407445,27,0.095273731,0.0101,2.592797254,27,0.16024239,0.0018,4.965052647,27,ENF,Forest,MF,0,Cfb,Cf,T&B FOR,361.191587,2.372255394,ENF,
8277,DE-FB-QS,50.25,12.25,0.642072704,4.00E-04,0.098652421,0,10.79985714,2.681896548,27,0.070687335,0.0046,2.027641613,27,0.120250013,0.0012,3.328428035,27,ENF,Forest,MF,0,Cfb,Cf,T&B FOR,361.191587,1.300786422,ENF,
8382,NZ-UOC-CK,-43.03,171.75,0.3550638,0,0.094544011,0,9.893333333,2.573945945,30,0.083465068,2.00E-04,2.304009075,24,0.104142789,0.0048,2.833259701,24,GRA,Grassland,GRA,0,Cfb,Cf,Grassland,374.1677439,0.529250626,GRA,
8405,US-IA-CT0N,42.75,-95.25,0.278827815,0.1127,0.104616726,0.0014,18.94428571,2.84671944,14,0.100310353,5.00E-04,2.726731204,14,0.126632391,0.0399,3.547786579,14,CRO,Agriculture,CRO,0,Dfa,Df,Agriculture,435.4079947,0.821055375,CRO,
8439,NL-ODB-DRAIN,52.75,6.25,0.459510556,0,0.092125233,0,10.73314815,2.512434822,54,0.082337299,0,2.278171148,54,0.112288636,0,3.073713265,54,CSH,Grassland,GRA,0,Cfb,Cf,Grassland,370.3272708,0.795542116,CSH,
8439,NL-ODB-DRAINDRY,52.75,6.25,0.443660412,0,0.078702721,0,10.73314815,2.196855908,54,0.068215777,0,1.978141505,54,0.111762403,0,3.057580856,54,CSH,Grassland,GRA,0,Cfb,Cf,Grassland,370.3272708,1.079439351,CSH,
8537,CN-HBS-10YR,42.75,117.25,0.516078578,7.00E-04,0.125382708,0,10.52583333,3.503726375,12,0.137948904,0,3.972871133,12,0.109989911,0.0142,3.003862939,12,DNF,Forest,DNF,0,Dwb,Dsw,T&B FOR,268.0734162,-0.969008194,DNF,forest structure:age stand
8537,CN-HBS-20YR,42.75,117.25,0.778806605,0,0.118358302,0,10.52583333,3.266055594,12,0.107632651,1.00E-04,2.933882154,12,0.14250134,3.00E-04,4.157913577,12,DNF,Forest,DNF,0,Dwb,Dsw,T&B FOR,268.0734162,1.224031423,DNF,forest structure:age stand
8537,CN-HBS-45YR,42.75,117.25,0.811212546,4.00E-04,0.113620223,0,10.52583333,3.114916143,12,0.117592429,0,3.241137321,12,0.104206637,0.0118,2.835069268,12,DNF,Forest,DNF,0,Dwb,Dsw,T&B FOR,268.0734162,-0.406068053,DNF,forest structure:age stand
8568,CN-GXS,21.75,104.75,0.450288234,0.0147,0.079335394,0,23.55111111,2.210798899,18,0.083594254,0,2.306987446,18,0.065132623,0.0145,1.918082969,18,EBF,Forest,EF,0,Cfa,Cf,T&B FOR,359.403671,-0.388904478,EBF,
8665,CN-ZJ-MSW,30.25,120.25,0.528286374,0.0036,0.110655814,0,15.4725,3.023932523,12,0.11840761,0,3.267666428,12,0.084637423,0.0062,2.33117918,12,CVM,Agriculture,CRO,0,Cfa,Cf,Agriculture,417.8416568,-0.936487248,EBF,
8793,IT-BG-BIOCHAR,44.75,11.75,0.976782063,4.00E-04,0.047166655,3.00E-04,15.18703125,1.602662884,32,0.044006564,6.00E-04,1.552809149,32,0.057595264,0.0066,1.778824293,32,CRO,Agriculture,CRO,0,Cfa,Cf,Agriculture,262.7591746,0.226015144,CRO,ORCHARD
8793,IT-BG-CK,44.75,11.75,0.993783056,0,0.043762202,0,15.18703125,1.549019299,32,0.036073325,9.00E-04,1.434380786,32,0.063975284,0.0028,1.896012194,32,CRO,Agriculture,CRO,0,Cfa,Cf,Agriculture,262.7591746,0.461631408,CRO,ORCHARD
8910,CN-SX-CK,36.75,112.25,0.809221963,0.0232,0.076859973,0.0073,13.28916667,2.156744106,12,0.090814648,0.0087,2.479722069,12,0.030195559,0.052,1.352501157,12,ENF,Forest,ENF,0,Dwb,Dsw,T&B FOR,377.2075563,-1.127220912,ENF,
8910,CN-SX-HT,36.75,112.25,1.227977367,0.0148,0.061721236,0.0162,13.28916667,1.853753227,12,0.06700512,0.0138,1.954337379,12,0.040534523,0.0704,1.4998202,12,ENF,Forest,ENF,0,Dwb,Dsw,T&B FOR,377.2075563,-0.454517179,ENF,
9151,FI-SMEAR-II,61.85,24.83,0.825772519,8.00E-04,0.164786825,0,7.963571429,5.195891663,14,0.089607511,0,2.449968364,14,0.228533443,3.00E-04,9.828972737,13,ENF,Forest,ENF,0,Dfc,Df,T&B FOR,322.4999619,7.379004373,ENF,
9297,IT-BOL-CK,46.75,11.75,0.742762943,4.00E-04,0.06646731,0,16.23090909,1.943854976,22,0.040786508,1.00E-04,1.503604275,22,0.118701399,6.00E-04,3.277280593,22,CRO,Forest,EF,0,ET,E,T&B FOR,442.5666281,1.773676318,CRO,
9343,IT-TUS-CK,10.75,13.25,1.403682824,0,0.045867977,0,14.016,1.58198403,25,0.036742782,0.0027,1.444015569,25,0.080968347,0.0029,2.247196571,25,ENF,Agriculture,CRO,0,BSh,B,Agriculture,354.0682681,0.803181002,ENF,
9355,IT-NV-PS,45.75,8.75,0.965739272,0,0.056627779,0,19.324375,1.761697416,32,0.061751555,0,1.854315364,32,0.046303911,9.00E-04,1.588895485,32,DBF,Forest,DBF,0,Cfb,Cf,T&B FOR,445.2104705,-0.26541988,DBF,
9355,UK-PU-WS,50.98,-0.5,1.303253569,0,0.032698436,0,19.324375,1.386779793,32,0.036608341,0,1.442075525,32,0.022829327,0.0318,1.256453747,32,DBF,Forest,DBF,0,Cfb,Cf,T&B FOR,346.7947832,-0.185621777,DBF,
9451,CN-HN-CK,27.25,110.25,0.562028417,0,0.056760897,0,16.59840909,1.764044115,22,0.057122473,0,1.77043402,22,0.056384149,0.01,1.757410632,22,ENF,Forest,ENF,0,Cfa,Cf,T&B FOR,495.1113412,-0.013023388,ENF,
9451,CN-HN-PRUN,27.25,110.25,0.7349483,3.00E-04,0.049551992,2.00E-04,16.59840909,1.641351395,22,0.046626298,1.00E-04,1.594026133,22,0.062322629,0.021,1.86493516,22,ENF,Forest,ENF,0,Cfa,Cf,T&B FOR,495.1113412,0.270909027,ENF,
9488,CN-GS-FENCH,35.9,104.15,0.675099965,0,0.043887451,0,17.16277778,1.550960647,22,0.045660107,0,1.57869897,22,0.037237449,0.0192,1.451176329,22,GRA,Grassland,GRA,0,BSk,B,Grassland,183.899524,-0.127522641,GRA,
9674,CN-MEF-150YR,31.78,102.7,1.240739362,0,0.130482543,0,5.165,3.68704539,24,0.107016353,0,2.915856283,24,0.184022947,0,6.297983294,24,GRA,Grassland,GRA,0,Dwb,Dsw,T&B FOR,350.7186845,3.38212701,GRA,
9674,CN-MEF-22YR,31.78,102.7,1.185423332,0,0.156193822,0,5.165,4.768053846,24,0.153156472,0,4.625408622,24,0.16148555,0,5.027161442,24,GRA,Grassland,GRA,0,Dwb,Dsw,T&B FOR,350.7186845,0.401752819,GRA,
9674,CN-MEF-47YR,31.78,102.7,1.076060943,0,0.122152089,0,5.165,3.39234318,24,0.121470654,0,3.369305168,24,0.123530661,0,3.439432939,24,GRA,Grassland,GRA,0,Dwb,Dsw,T&B FOR,350.7186845,0.070127771,GRA,
9674,CN-MEF-68YR,31.78,102.7,1.316479993,0,0.111458043,0,5.165,3.048288954,24,0.097665746,0,2.655565069,24,0.133695569,0,3.807434828,24,GRA,Grassland,GRA,0,Dwb,Dsw,T&B FOR,350.7186845,1.151869759,GRA,
9755,CN-QERC-MP2,26.75,115.25,0.456625404,0.0018,0.085286223,0,21.37075,2.346353048,20,0.067695582,0.0209,1.967878034,20,0.096731821,2.00E-04,2.630879523,20,MF,Forest,MF,0,Cfa,Cf,T&B FOR,494.254255,0.663001489,MF,
9755,CN-QERC-SP1,26.75,115.25,0.472715044,0.0654,0.073564061,0.0019,21.37075,2.086818402,20,0.081176647,4.00E-04,2.251882361,20,0.076581718,0.014,2.150751199,19,MF,Forest,MF,0,Cfa,Cf,T&B FOR,494.254255,-0.101131162,MF,
9755,CN-QERC-SP2,26.75,115.25,0.469351112,0.0469,0.074977296,8.00E-04,21.37075,2.11651942,20,0.082935376,3.00E-04,2.291837195,20,0.093213599,0.0157,2.539928654,18,DBF,Forest,MF,0,Cfa,Cf,T&B FOR,494.254255,0.248091459,DBF,
9845,US-WA,46.25,-121.75,2.351968264,0,0.057557907,0,9.818461538,1.778159909,26,0.115284954,1.00E-04,3.167205148,9,0.039943083,0.0137,1.490975839,9,CRO,Forest,EF,0,Csb,Cs,T&B FOR,486.4598989,-1.676229309,CRO,
10087,CN-LWM-3AR,32.25,118.75,0.642813826,0,0.081182703,0,15.565,2.252018733,38,0.078647531,0,2.195643803,38,0.090572048,4.00E-04,2.473713543,38,MF,Agriculture,CRO,0,Cfa,Cf,Agriculture,504.9388427,0.278069741,MF,
10087,CN-LWM-CK,32.25,118.75,0.581926806,0,0.087954265,0,15.565,2.409797345,36,0.082865006,0,2.290224976,36,0.104370615,0,2.839721963,36,MF,Agriculture,CRO,0,Cfa,Cf,Agriculture,504.9388427,0.549496987,MF,
10351,CN-LSR-BPF,47.25,129.25,0.661848617,0,0.093690914,0,12.40697368,2.552081084,19,0.085311829,0,2.346953933,19,0.112783179,0,3.088951736,19,MF,Forest,MF,0,Dwc,Dsw,T&B FOR,448.9831402,0.741997803,MF,
10351,CN-LSR-LP,47.25,129.25,0.74294719,4.00E-04,0.1008997,0,12.40697368,2.742848548,19,0.08798512,0,2.410540993,19,0.137595686,1.00E-04,3.95886298,19,MF,Forest,MF,0,Dwc,Dsw,T&B FOR,448.9831402,1.548321987,MF,
10351,CN-LSR-PP,47.25,129.25,0.737138812,0,0.10060779,0,12.40697368,2.734853581,19,0.088016726,0,2.411302981,19,0.124368299,0,3.468363924,19,MF,Forest,MF,0,Dwc,Dsw,T&B FOR,448.9831402,1.057060943,MF,
10351,CN-LSR-SBF,47.25,129.25,0.636244534,8.00E-04,0.123489974,0,12.40697368,3.438033819,19,0.096276911,0,2.618938566,19,0.181899411,2.00E-04,6.165653379,19,MF,Forest,MF,0,Dwc,Dsw,T&B FOR,448.9831402,3.546714813,MF,
10362,IT-MRM-ABAND,44.25,10.75,2.480763876,0.013,0.060595835,3.00E-04,25.47547619,1.83300804,21,0.046798696,6.00E-04,1.596776582,21,0.08630504,0.0246,2.370380289,21,CRO,Agriculture,CRO,0,Cfb,Cf,Agriculture,485.5913091,0.773603707,CRO,
10362,IT-MRM-MAIZE,44.25,10.75,0.41299155,0.1853,0.130004508,1.00E-04,25.47547619,3.66946207,21,0.107157589,4.00E-04,2.919977446,21,0.152403164,8.00E-04,4.590695951,21,CRO,Agriculture,CRO,0,Cfb,Cf,Agriculture,485.5913091,1.670718505,CRO,
10466,JP-FUJI-CK,35.75,138.46,0.967416676,0,0.08009183,0,9.309652778,2.227585591,144,0.087317242,0,2.394495157,144,0.057846338,0,1.783296081,144,DBF,Forest,DBF,0,Cfa,Cf,T&B FOR,409.4080808,-0.611199075,DBF,
10472,JP-TAK-CK,36.13,137.42,0.550975801,0,0.109761572,0,12.70434783,2.997011771,46,0.096969019,0,2.637127331,37,0.142173807,0,4.144317314,35,DBF,Forest,DBF,0,Dfb,Df,T&B FOR,420.6892195,1.507189984,DBF,Trench
10480,CN-LOE-CORN,37.75,113.2,0.870598174,2.00E-04,0.057135124,0,18.00555556,1.770658018,90,0.042232131,2.00E-04,1.525498603,90,0.07885825,0.005,2.20027532,90,CRO,Agriculture,CRO,0,Dwb,Dsw,Agriculture,384.1855671,0.674776716,CRO,
10487,CN-HUN-CK,26.67,109.43,0.420928598,0,0.063656562,0,16.58770833,1.889978819,48,0.051421248,1.00E-04,1.672320999,48,0.068233039,0,1.978483003,48,GRA,Grassland,GRA,0,Cfa,Cf,T&B FOR,493.3376022,0.306162004,GRA,
10526,CN-HE-CK,32.25,112.25,0.365310253,0,0.115787646,0,10.70921053,3.183166524,38,0.11408125,0,3.129309881,38,0.123656332,0,3.443758022,38,CRO,Forest,DBF,0,Cfa,Cf,T&B FOR,432.8589074,0.31444814,CRO,throughfall reduction (TFR) experiment 
10526,CN-HE-PR,32.25,112.25,0.499898304,0,0.096676401,0,10.70921053,2.629421906,38,0.099096376,0,2.693829433,38,0.086204873,2.00E-04,2.368007142,38,CRO,Forest,DBF,0,Cfa,Cf,T&B FOR,432.8589074,-0.32582229,CRO,throughfall reduction (TFR) experiment 
10533,AT-BBB-2008CL,47.85,14.43,1.094037369,2.00E-04,0.092937802,0,9.903076923,2.532933256,13,0.09399554,2.00E-04,2.559867255,13,0.09254202,0.0013,2.522928177,13,ENF,Forest,ENF,0,Cfb,Cf,T&B FOR,433.4152303,-0.036939078,ENF,
10533,AT-BBB-2011CL,47.85,14.43,0.96822378,5.00E-04,0.094109762,1.00E-04,9.903076923,2.562792846,13,0.093978369,2.00E-04,2.559427721,13,0.094054674,0.0028,2.561381448,13,ENF,Forest,ENF,0,Cfb,Cf,T&B FOR,433.4152303,0.001953726,ENF,
10533,AT-BBB-MATURE,47.85,14.43,0.90478563,0,0.10644966,0,9.903076923,2.899379055,13,0.109734979,0,2.996214898,13,0.103124512,3.00E-04,2.80455568,13,ENF,Forest,ENF,0,Cfb,Cf,T&B FOR,433.4152303,-0.191659218,ENF,
10547,KR-SEO-LAWN,37.54,127.03,0.654211562,0,0.076093194,0,15.35228571,2.140269903,35,0.058525223,0,1.79544379,35,0.100999165,0,2.74557809,35,MF,Forest,MF,0,Dwa,Dsw,T&B FOR,450.2395,0.9501343,MF,
10559,CN-HI-PF,18.52,108.9,1.006476379,0.0467,0.070474877,0.0049,19.62411765,2.023338306,34,0.060341862,0.0112,1.828358598,34,0.080994431,0.08,2.247782795,29,CRO,Forest,DBF,0,Aw,A,T&B FOR,551.1275911,0.419424197,CRO,
10559,CN-HI-SF,18.52,108.9,1.0336571,8.00E-04,0.066291123,0,19.62411765,1.940433169,34,0.051984129,0.0035,1.681760719,34,0.127483782,0.0061,3.578121067,28,CRO,Forest,DBF,0,Aw,A,T&B FOR,551.1275911,1.896360348,CRO,secondary rain forest
10645,IE-SWI-LPCK,52.75,-8.75,0.478174416,0,0.135908933,0,9.011346154,3.892646774,52,0.184578398,0,6.333062861,52,0.059879792,0.0265,1.819929776,52,GRA,Forest,ENF,0,Cfb,Cf,T&B FOR,532.839285,-4.513133086,GRA,
10645,IE-SWI-SPCK,52.75,-8.75,0.527615962,0,0.169835898,0,9.011346154,5.464971909,52,0.183889224,0,6.289567073,52,0.157300949,0,4.821135556,52,GRA,Forest,ENF,0,Cfb,Cf,T&B FOR,532.839285,-1.468431517,GRA,
10687,CN-HLJ-CK,47.75,126.75,0.284910476,0,0.105361343,0,5.37,2.867995732,48,0.092680468,0,2.526423527,48,0.123490616,0,3.438055874,48,CRO,Agriculture,CRO,0,Dwb,Dsw,Agriculture,314.0760285,0.911632347,CRO,
10745,CN-GD-ML,22.75,113.25,1.565569555,1.00E-04,0.03582549,9.00E-04,16.9975,1.430830291,12,0.036988737,0.0039,1.447571569,12,0.031819684,0.0803,1.374646819,12,CSH,Grassland,GRA,0,Cwa,Cw,Grassland,524.1738014,-0.07292475,CSH,
10745,CN-GD-MN,22.75,113.25,1.168809624,1.00E-04,0.049541261,0,16.9975,1.641175263,12,0.048251633,0.0016,1.620146096,12,0.053498818,0.0248,1.707428066,12,CSH,Grassland,GRA,0,Cwa,Cw,Grassland,524.1738014,0.08728197,CSH,
10745,CN-GD-SHR,22.75,113.25,0.753688646,0.006,0.05312773,0.002,16.9975,1.701103741,12,0.059132294,0.004,1.806376562,12,0.030862405,0.0184,1.361550399,12,CSH,Grassland,GRA,0,Cwa,Cw,Grassland,524.1738014,-0.444826163,CSH,
10753,EE-JAR-MA,58.25,27.75,0.94771928,0.0193,0.072927235,0.002,17.09866667,2.073571233,15,0.064703315,0.0074,1.909866127,15,0.104503292,0.0083,2.843492121,15,ENF,Forest,ENF,0,Dfb,Df,T&B FOR,332.0408921,0.933625994,ENF,
10753,EE-JAR-MATURE,58.25,27.75,1.19046654,0.0117,0.07179443,0.0011,17.09866667,2.050214249,15,0.069247806,4.00E-04,1.998662211,15,0.078696589,0.0997,2.196721208,15,ENF,Forest,ENF,0,Dfb,Df,T&B FOR,332.0408921,0.198058997,ENF,STAND age
10768,CH-AA1,-41.25,-72.43,0.39866961,3.00E-04,0.179561146,0,8.225135135,6.023156532,15,0.202515243,0,7.577265865,15,0.152272325,0.0035,4.584693488,15,MF,Forest,MF,0,Cfb,Cf,T&B FOR,417.4384645,-2.992572377,MF,
10768,CH-AC1,-40.17,-73.58,0.689385402,0,0.126964467,0,8.225135135,3.559587509,22,0.159632663,0,4.934871473,22,0.099370837,3.00E-04,2.701233091,22,ENF,Forest,ENF,0,Cfb,Cf,T&B FOR,396.2289787,-2.233638381,ENF,
10862,CN-NA-MED,29.25,118.25,0.374401253,3.00E-04,0.071520882,0,16.67823529,2.044613598,17,0.06069287,8.00E-04,1.83478756,10,0.135311694,0.001,3.869467668,10,EBF,Forest,MF,0,Cfa,Cf,T&B FOR,490.7690376,2.034680108,EBF,
10862,CN-NA-OLD,29.25,118.25,0.422540095,4.00E-04,0.069607922,0,16.67823529,2.005872681,17,0.052642301,0.004,1.692866101,10,0.092710952,0.0107,2.527193814,10,EBF,Forest,MF,0,Cfa,Cf,T&B FOR,490.7690376,0.834327713,EBF,
10862,CN-NA-YOUNG,29.25,118.25,0.539671135,3.00E-04,0.063883931,0,16.67823529,1.894280923,17,0.070516094,5.00E-04,2.024172431,10,0.057522224,0.0152,1.777525523,10,EBF,Forest,MF,0,Cfa,Cf,T&B FOR,490.7690376,-0.246646908,EBF,
10893,CN-HT-CT,26.75,109.75,0.549773229,0,0.063749583,0,16.52,1.891737717,24,0.063664949,0,1.89013733,24,0.063984293,0,1.896183019,24,CRO,Savanna,GRA,0,Cfa,Cf,Savanna,493.3376022,0.00604569,CRO,
10893,CN-HT-N,26.75,109.75,0.443850715,0,0.062423191,0,16.52,1.866811527,24,0.060914811,0,1.838864218,24,0.067078403,0,1.955770097,24,CRO,Savanna,GRA,0,Cfa,Cf,Savanna,493.3376022,0.116905879,CRO,
10893,CN-HT-NP,26.75,109.75,0.481054281,0,0.059924114,0,16.52,1.820736589,24,0.056403261,0,1.757746538,24,0.068894467,0,1.991612617,24,CRO,Savanna,GRA,0,Cfa,Cf,Savanna,493.3376022,0.233866079,CRO,
10893,CN-HT-P,26.75,109.75,0.427557072,0,0.066270129,0,16.52,1.940025838,24,0.067036607,0,1.954952836,24,0.064067195,0,1.897755653,24,CRO,Savanna,GRA,0,Cfa,Cf,Savanna,493.3376022,-0.057197183,CRO,
10897,BT-EH-MF,27.75,89.75,0.596434371,0,0.144602062,0,12.659375,4.246183664,16,0.109934396,0,3.002195831,16,0.207026553,0,7.926927679,16,MF,Forest,MF,0,Dwc,Dsw,T&B FOR,394.9255799,4.924731849,MF,
10962,US-IL-CK,40.25,-87.75,1.066014505,5.00E-04,0.055302858,0,15.70605263,1.738510267,38,0.054288247,0,1.720960343,38,0.056923741,0.0011,1.766919095,38,CRO,Agriculture,CRO,0,Dfa,Df,Agriculture,470.3077836,0.045958753,CRO,
10962,US-IL-CO2,40.25,-87.75,1.316806708,1.00E-04,0.054015387,0,15.70605263,1.716270919,38,0.051628284,0,1.675786895,38,0.057516775,7.00E-04,1.777428668,38,CRO,Agriculture,CRO,0,Dfa,Df,Agriculture,470.3077836,0.101641773,CRO,
10962,US-IL-WARM,40.25,-87.75,1.103664189,9.00E-04,0.054928892,0,15.70605263,1.732020971,38,0.055292537,0,1.738330844,38,0.05397144,0.0074,1.715516843,38,CRO,Agriculture,CRO,0,Dfa,Df,Agriculture,470.3077836,-0.022814002,CRO,
10962,US-IL-WARMCO2,40.25,-87.75,1.22895447,2.00E-04,0.057715603,0,15.70605263,1.780966213,38,0.059224004,0,1.808033942,38,0.054323017,0.0088,1.721558821,38,CRO,Agriculture,CRO,0,Dfa,Df,Agriculture,470.3077836,-0.086475121,CRO,
10987,KR-SFR-CK,35.25,128.25,0.677608652,1.00E-04,0.094006497,0,13.26083333,2.560147756,24,0.090879418,0,2.48132869,24,0.09892513,5.00E-04,2.689220305,24,ENF,Forest,ENF,0,Cwa,Cw,T&B FOR,413.7669809,0.207891615,ENF,
11013,CN-SHX-180KGN,34.75,108.25,0.627722956,9.00E-04,0.070234976,1.00E-04,11.7424,2.018490102,25,0.085378027,0,2.348508077,25,0.061391198,0.0159,1.847645225,25,CRO,Agriculture,CRO,0,Cwa,Cw,CRO,377.377143,-0.500862852,CRO,
11013,CN-SHX-360KGN,34.75,108.25,0.648309609,2.00E-04,0.063474982,1.00E-04,11.7424,1.88655011,25,0.084747262,0,2.333741141,25,0.04945491,0.0293,1.63975871,25,CRO,Agriculture,CRO,0,Cwa,Cw,CRO,377.377143,-0.693982431,CRO,
11013,CN-SHX-CK,34.75,108.25,0.468414657,4.00E-04,0.079936435,0,11.7424,2.224126721,25,0.075983252,0,2.137918125,25,0.083671683,0.0012,2.308774423,25,CRO,Agriculture,CRO,0,Cwa,Cw,CRO,377.377143,0.170856297,CRO,
11020,CN-SC-DAY,31.25,103.25,0.969636435,0,0.117784664,0,6.31875,3.247373913,16,0.119991561,0,3.319836761,16,0.112078317,0,3.067255456,16,GRA,Forest,MF,0,Cwb,Cw,T&B FOR,363.4046016,-0.252581305,GRA,
11054,JP-KYU,31.85,131.3,1.174678974,0,0.086796713,0,15.13083333,2.382063507,96,0.093559873,0,2.548739005,96,0.072758496,0,2.070075252,96,EBF,Forest,EBF,0,Cfa,Cf,T&B FOR,NA,-0.478663754,EBF,
11060,CN-HN-CK,33.75,112.75,0.476768442,0.0169,0.079634356,0.0028,15.05285714,2.217418235,14,0.069400318,0.0269,2.001712732,14,0.099095112,0.006,2.69379537,14,GRA,Forest,DBF,0,Cwa,Cw,T&B FOR,437.7591068,0.692082638,GRA,
11060,CN-HN-T,33.75,112.75,0.374749773,3.00E-04,0.108439488,0,15.05285714,2.957649547,14,0.078910807,0.0053,2.201432033,14,0.139688483,0,4.042586988,14,GRA,Forest,DBF,0,Cwa,Cw,T&B FOR,437.7591068,1.841154956,GRA,
11060,CN-HN-TW,33.75,112.75,0.400860861,0,0.095368391,0,15.05285714,2.595252738,14,0.077148798,1.00E-04,2.162982337,14,0.14040726,2.00E-04,4.071748867,14,GRA,Forest,DBF,0,Cwa,Cw,T&B FOR,437.7591068,1.90876653,GRA,
11060,CN-HN-W,33.75,112.75,0.517694194,0.0037,0.094981509,1.00E-04,15.05285714,2.585231577,14,0.070501445,0.0032,2.023875927,14,0.132406943,0.002,3.758686003,14,GRA,Forest,DBF,0,Cwa,Cw,T&B FOR,437.7591068,1.734810075,GRA,
11065,CN-YN-NFR,21.93,101.25,0.316507012,0,0.105131801,0,19.62621053,2.861420004,95,0.1259784,0,3.524660086,95,0.043898512,0,1.551132204,95,EBF,Forest,EF,0,Cwa,Cw,T&B FOR,495.8238151,-1.973527882,EBF,
